Task,Model,Metric,Value,Fold
ABL1,mkl,pearson,0.18793581401303625,All
ABL1,mkl,pearson_p,0.00014768257198940658,All
ABL1,mkl,r2_score,-10.910697776084879,All
ABL1,mkl,spearman,0.19275707943880166,All
ABL1,mkl,spearman_p,9.855126678121863e-05,All
ACACA,mkl,pearson,0.5294545384066309,All
ACACA,mkl,pearson_p,1.6972493061749345e-30,All
ACACA,mkl,r2_score,-3.491387581988178,All
ACACA,mkl,spearman,0.5320928766651704,All
ACACA,mkl,spearman_p,7.728492519021909e-31,All
ACVRL1,mkl,pearson,0.24112136039568047,All
ACVRL1,mkl,pearson_p,9.686937162301602e-07,All
ACVRL1,mkl,r2_score,-8.247091197213576,All
ACVRL1,mkl,spearman,0.2632792473508405,All
ACVRL1,mkl,spearman_p,8.148996634989657e-08,All
ADAR,mkl,pearson,0.5405729922151824,All
ADAR,mkl,pearson_p,5.880039960494022e-32,All
ADAR,mkl,r2_score,-1.7187256893255158,All
ADAR,mkl,spearman,0.5525973622079534,All
ADAR,mkl,spearman_p,1.3416088187924999e-33,All
AKT1,mkl,pearson,0.3470776923682523,All
AKT1,mkl,pearson_p,7.500424390695636e-13,All
AKT1,mkl,r2_score,-4.469862159200313,All
AKT1,mkl,spearman,0.38346436304817694,All
AKT1,mkl,spearman_p,1.448857486686791e-15,All
AKT2,mkl,pearson,0.3462284322661891,All
AKT2,mkl,pearson_p,8.597695522082638e-13,All
AKT2,mkl,r2_score,-4.476844080646882,All
AKT2,mkl,spearman,0.3830662296274615,All
AKT2,mkl,spearman_p,1.5581605170735222e-15,All
AKT3,mkl,pearson,0.34719712890447635,All
AKT3,mkl,pearson_p,7.357533642187315e-13,All
AKT3,mkl,r2_score,-4.479239853839174,All
AKT3,mkl,spearman,0.38357987032657936,All
AKT3,mkl,spearman_p,1.4185794315625654e-15,All
ANXA1,mkl,pearson,0.5495732536138496,All
ANXA1,mkl,pearson_p,3.5220082871155506e-33,All
ANXA1,mkl,r2_score,-1.772509314990856,All
ANXA1,mkl,spearman,0.5701765089127394,All
ANXA1,mkl,spearman_p,4.019966815440824e-36,All
