Cell Line Id,Primary Site,Actual,Predicted,Drug
AU565,BREAST,-0.15966265,1.2182031497935797,AT7519
BT20,BREAST,0.2120987,1.9876271238276155,AT7519
EFM19,BREAST,1.68658764,3.0384520940727917,AT7519
HCC1500,BREAST,-0.50674399,2.5850967479725533,AT7519
HCC1569,BREAST,0.27167071,0.9377617661272765,AT7519
HCC1806,BREAST,-0.04216413,1.7836353654330794,AT7519
JIMT1,BREAST,2.78934144,2.603427052902096,AT7519
MCF7,BREAST,4.41568777,2.822313912403521,AT7519
MDAMB157,BREAST,2.55978437,2.620171041753208,AT7519
MDAMB175VII,BREAST,3.28162656,2.2692768922140667,AT7519
BT483,BREAST,3.81182169,2.660663619505831,AT7519
BT549,BREAST,1.6175707786363638,2.8842058154326,AT7519
CAL851,BREAST,1.17499297,-0.3620317774357036,AT7519
HCC1954,BREAST,-1.28585406,0.39017728861084744,AT7519
HDQP1,BREAST,3.03350983,1.3694536438219773,AT7519
MDAMB361,BREAST,4.04199487,2.4821417651791022,AT7519
MDAMB415,BREAST,3.72641297,0.4654596406880753,AT7519
MDAMB468,BREAST,0.33632253,-1.900835895949416,AT7519
UACC893,BREAST,1.59570177,0.3861833507606669,AT7519
BT474,BREAST,1.20761627,1.8789780103768066,AT7519
CAMA1,BREAST,2.4845481,0.7133447534730673,AT7519
EFM192A,BREAST,2.37649548,1.346628401055315,AT7519
EVSAT,BREAST,0.08652094,-0.20111950300176717,AT7519
HCC1187,BREAST,-1.30410222,1.5360892655816003,AT7519
HCC1395,BREAST,3.35057913,1.940516044485606,AT7519
HCC1599,BREAST,-1.45533519,0.27253856359675765,AT7519
HCC2157,BREAST,0.59152843,0.05752153982866082,AT7519
HS578T,BREAST,5.20973018,2.1656638440786335,AT7519
HCC1143,BREAST,0.97542867,0.9430055163023379,AT7519
HCC1419,BREAST,1.95755618,2.6914353995688143,AT7519
HCC1428,BREAST,3.86487661,1.0826611240769133,AT7519
HCC202,BREAST,-0.67045363,1.3199164816965328,AT7519
HCC38,BREAST,1.47354355,3.0656036050788975,AT7519
HCC70,BREAST,-1.35743802,1.0638934922363006,AT7519
MDAMB436,BREAST,4.48040412,1.9738219217932738,AT7519
MDAMB453,BREAST,1.19352399,1.0822703988524796,AT7519
UACC812,BREAST,2.98302613,1.7373511666970025,AT7519
CAL120,BREAST,3.97982285,1.8804504093639287,AT7519
CAL148,BREAST,2.73350891,-0.1524293327631372,AT7519
CAL51,BREAST,3.39914775,1.0523148366360493,AT7519
DU4475,BREAST,-1.17964237,1.6186027851964366,AT7519
HCC1937,BREAST,1.40727723,0.38336781240434803,AT7519
HCC2218,BREAST,-0.75152132,2.893535641247052,AT7519
MDAMB231,BREAST,1.13358223,2.657292743058355,AT7519
T47D,BREAST,2.05976127,2.331183092444812,AT7519
ZR7530,BREAST,1.6175707786363638,1.613223142027882,AT7519
AU565,BREAST,-0.52948742,2.186685215314739,AZD7762
BT20,BREAST,0.9377121,-0.060669594383837455,AZD7762
EFM19,BREAST,0.93958593,1.3038644736530105,AZD7762
HCC1500,BREAST,2.04704353,1.942106478644348,AZD7762
HCC1569,BREAST,1.00515507,0.1886936817500986,AZD7762
HCC1806,BREAST,0.9060370874999999,0.10364960644314503,AZD7762
JIMT1,BREAST,-0.92191415,0.7471792113534823,AZD7762
MCF7,BREAST,1.62027571,1.6992907282194771,AZD7762
MDAMB157,BREAST,0.9060370874999999,0.1272007283339196,AZD7762
MDAMB175VII,BREAST,1.68763357,3.2314570217421923,AZD7762
BT483,BREAST,3.81878217,1.6819958798986048,AZD7762
BT549,BREAST,-0.81412968,-0.9755844163993047,AZD7762
CAL851,BREAST,0.9768279,-0.4761877481765787,AZD7762
HCC1954,BREAST,1.05677189,-0.260638096076765,AZD7762
HDQP1,BREAST,0.70303422,0.01551247956521895,AZD7762
MDAMB361,BREAST,-0.52254941,0.48476874925490726,AZD7762
MDAMB415,BREAST,1.95086386,1.062347544589008,AZD7762
MDAMB468,BREAST,-0.25100607,-0.7821000796432959,AZD7762
UACC893,BREAST,4.01669298,1.18048138567987,AZD7762
BT474,BREAST,2.73895027,1.3698069792293701,AZD7762
CAMA1,BREAST,0.9060370874999999,2.043328414197377,AZD7762
EFM192A,BREAST,2.37804919,0.6061470874121558,AZD7762
EVSAT,BREAST,0.66106172,1.228132637308932,AZD7762
HCC1187,BREAST,-1.73670812,0.10194962822067655,AZD7762
HCC1395,BREAST,-1.32203419,-0.46242716983593013,AZD7762
HCC1599,BREAST,0.9060370874999999,-0.22910390297362748,AZD7762
HCC2157,BREAST,-1.05479383,0.5378970424322276,AZD7762
HS578T,BREAST,-0.68102281,1.2694414183472942,AZD7762
HCC1143,BREAST,-1.28674885,-0.6497466003973384,AZD7762
HCC1419,BREAST,3.96762366,2.628431103199772,AZD7762
HCC1428,BREAST,2.05836397,2.0043556198636514,AZD7762
HCC202,BREAST,2.04806588,2.9446906737754563,AZD7762
